rank,followers,engagement_rate,category,potential_reach,country,channel_name,channel_id
51,10300.0,0.02,fashion & accessories,3100.0,ecuador,MOI ®,moiropayaccesorios
52,10200.0,0.14,acting & drama fashion & accessories,3000.0,ecuador,Erika Valencia,lanegraerika
53,10100.0,0.14,food product showcase,3000.0,ecuador,Supermaxi Ecuador,supermaxiecuador
54,10100.0,0.58,entertainment & music acting & drama,3000.0,ecuador,Elena Viteri,elenaviterilaprima
55,9800.0,0.43,beauty & self care,2900.0,ecuador,DIANNA GUEVARA 🧿,la_diannita
56,9700.0,0.2,auto and vehicles product education,2900.0,ecuador,Novicompu.com,novicompu
57,9700.0,0.58,education,2900.0,ecuador,Dr. Giovanni Jaramillo Lino,giojaramillolino
58,9400.0,0.37,food,2800.0,ecuador,KFCEcuador,kfcecuador
59,9300.0,0.56,entertainment & music,2800.0,ecuador,Ren Kai - 人凯,renkaiy
60,9100.0,0.39,fashion & accessories entertainment & music,2700.0,ecuador,M U Y M A R I A N A,muymariana
61,8900.0,0.15,finance education upskilling,2700.0,ecuador,Claudia Schiess,claudia_schiess
62,8900.0,0.04,beauty & self care fitness & health product showcase,2700.0,ecuador,NutriStetik®️,nutristetik
63,8100.0,0.17,acting & drama entertainment & music funny,2400.0,ecuador,Eddie Mew,eddiemew
64,8100.0,2.45,entertainment & music funny,2400.0,ecuador,I’m Angie✨,angie.victoriac
65,8000.0,0.62,entertainment & music,2400.0,ecuador,GabSolf,gabsolf
66,7900.0,0.25,entertainment & music,2400.0,ecuador,𝐊𝐚𝐫𝐨𝐥 𝐍𝐨𝐛𝐨𝐚 • 𝐂𝐨𝐦𝐮𝐧𝐢𝐜𝐚𝐝𝐨𝐫𝐚 🎙,karolnoboa
67,7800.0,0.25,entertainment & music,2300.0,ecuador,T O Ñ O N A V A R R E T E,tononavarrete
68,7600.0,0.09,education romance & wedding,2300.0,ecuador,María Belén Cedeño,mabecedeno
69,7300.0,1.13,education,2200.0,ecuador,Bryan Camacho,camacho.ec
70,7300.0,0.13,food,2200.0,ecuador,21 Gramos Cocina Con Alma,mamit_puertosantaana
71,7100.0,0.44,beauty & self care,2100.0,ecuador,Karol,karolrueda_
72,7100.0,0.15,arts & crafts,2100.0,ecuador,Teatro Sánchez Aguilar,teatrosancheza
73,7100.0,0.2,food,2100.0,ecuador,Chef Carol Santos®️ Pastelería y Brigadeiros para Eventos,thecheesecakehouse
74,6800.0,0.14,fashion & accessories,2000.0,ecuador,Angela Fiorella Solines Zea 👠,fiorellasolines
75,6800.0,0.1,fashion & accessories,2000.0,ecuador,Ale Argudo,ale_argudo
76,6700.0,0.1,home & garden product education,2000.0,ecuador,Hansen Deco - Diseño de interiores,hansendecodesign
